TaxCode,TaxRate,CustomerCode,CustomerName,GSTVATNumber,BankName,BankBranch,BankAccount,Website,PhoneNumber,FaxNumber,MobileNumber,DDINumber,TollFreeNumber,Email,EmailCC,Notes,Taxable,XeroContactId,SalesPerson,DiscountRate,PrintPackingSlipInsteadOfInvoice,PrintInvoice,StopCredit,Obsolete,XeroSalesAccount,XeroCostOfGoodsAccount,SellPriceTier,SellPriceTierReference,CustomerType,PaymentTerm,ContactFirstName,ContactLastName,SourceId,CreatedBy,CreatedOn,LastModifiedBy,Guid,LastModifiedOn,Currency.CurrencyCode,Currency.Description,Currency.Guid,Currency.LastModifiedOn
,,BENEMP,Ben's Emporium,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,/Date(1582843971576)/,,9971fa7e-4d3e-47f4-a234-f4db1b9b7a16,/Date(1645915971596)/,NZD,"New Zealand, Dollars",7ba118a6-db04-48e0-a856-218296424a38,/Date(1645560421523)/
,,EMWAR,Emmanuel's Discount Warehouse,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,/Date(1582843971576)/,,41e40967-dac7-4be7-9e21-83ea77f4a50f,/Date(1645915971603)/,USD,"United States of America, Dollars",c35279c9-8a67-4156-a9ff-b5259bc9a138,/Date(1645560421523)/
,,FRANCK,Franck & Co.,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,/Date(1582843971576)/,,8ce589ec-2aee-4375-a7b0-2d327d19d237,/Date(1645915971600)/,USD,"United States of America, Dollars",c35279c9-8a67-4156-a9ff-b5259bc9a138,/Date(1645560421523)/
,,GAR123,Garrick Inc.,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,/Date(1582843971576)/,,2478d9e9-bd8c-4baa-b5a4-4436df069e2d,/Date(1645915971600)/,AUD,"Australia, Dollars",5349556e-e3f3-4c67-aea5-0208593e06ee,/Date(1645560421523)/
,,GBRO,Griffin Brothers Fabrication Ltd.,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,/Date(1582843971576)/,,f0a87885-e5fc-42c6-8b84-207a46165a80,/Date(1645915971603)/,AUD,"Australia, Dollars",5349556e-e3f3-4c67-aea5-0208593e06ee,/Date(1645560421523)/
,,JUNIOR,The Junior Store,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,/Date(1582843971576)/,,6aebce6f-2d45-4581-a162-a6814d2dbd3d,/Date(1645915971600)/,USD,"United States of America, Dollars",c35279c9-8a67-4156-a9ff-b5259bc9a138,/Date(1645560421523)/
,,LMH001,LMH Industries,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Wholesale,20th Month following,,,,admin,/Date(1582843971576)/,,069e3016-f890-43f4-9550-befbe24f841a,/Date(1645915971600)/,NZD,"New Zealand, Dollars",7ba118a6-db04-48e0-a856-218296424a38,/Date(1645560421523)/
,,MATSUP,Matt's Supplies Ltd.,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,/Date(1582843971576)/,,c410b9ea-2cee-41c4-83a8-1f50c9197cf5,/Date(1645915971600)/,AUD,"Australia, Dollars",5349556e-e3f3-4c67-aea5-0208593e06ee,/Date(1645560421523)/
,,PTECH,PivacTech,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,On Account,20th Month following,,,,admin,/Date(1582843971576)/,,84073c0e-ba54-4283-ba0b-e6c5e372084f,/Date(1645915971603)/,GBP,"United Kingdom, Pounds",e664edfc-eca9-4f42-8753-f9923e2104d4,/Date(1645560421523)/
,,SIREEN,The House of Sireen,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,/Date(1582843971576)/,,e52c183f-6dd1-4f54-85e7-9183f005c89f,/Date(1645915971600)/,GBP,"United Kingdom, Pounds",e664edfc-eca9-4f42-8753-f9923e2104d4,/Date(1645560421523)/
,,WADE,Wade's Apparel & Accessories,,,,,,,,,,,,,,True,,,0.0,False,False,False,False,,,,,Cash,20th Month following,,,,admin,/Date(1582843971576)/,,c6cf45ee-28d1-489e-919e-4c4bbbd74cb4,/Date(1645915971603)/,NZD,"New Zealand, Dollars",7ba118a6-db04-48e0-a856-218296424a38,/Date(1645560421523)/
